,blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,lat,long
8621,4203 282A,0,CROSS COUNTRY,5.0,NORTHWESTERN,"(39.36980457, -76.70027255)",39.36980457,-76.70027255
8622,1920 082,1149 COVINGTON ST,RIVERSIDE,11.0,SOUTHERN,"(39.276351, -76.60673329)",39.276351,-76.60673329
8623,4813B023,4603 PALL MALL ROAD,PARKLANE,6.0,NORTHERN,"(39.34277058, -76.66499651)",39.34277058,-76.66499651
8624,4178 006,0,FOUR BY FOUR,13.0,NORTHEASTERN,"(39.31495455, -76.58083438)",39.31495455,-76.58083438
8625,5198 026,0,KENILWORTH PARK,4.0,NORTHERN,"(39.34602212, -76.60181109)",39.34602212,-76.60181109
8626,3345 008A,0,GREENSPRING,6.0,NORTHERN,"(39.33528449, -76.66118913)",39.33528449,-76.66118913
8627,1449 046,1837 N CASTLE ST,BROADWAY EAST,12.0,EASTERN,"(39.31162443, -76.58918158)",39.31162443,-76.58918158
8628,8419 013,0,FRANKLINTOWN,8.0,SOUTHWESTERN,"(39.31050695, -76.71076772)",39.31050695,-76.71076772
8629,7200 125,0,CURTIS BAY,10.0,SOUTHERN,"(39.22339605, -76.59061988)",39.22339605,-76.59061988
8630,4275 009,0,REISTERSTOWN STATION,5.0,NORTHWESTERN,"(39.35264375, -76.70817499)",39.35264375,-76.70817499
8631,3327I016,3701 DERBY MANOR DR,PARK CIRCLE,6.0,NORTHWESTERN,"(39.33428171, -76.65684538)",39.33428171,-76.65684538
8632,1121 047,1509 ENSOR ST,OLIVER,12.0,EASTERN,"(39.30735447, -76.60365576)",39.30735447,-76.60365576
8633,6812 007,6104 DANVILLE AVE,BROENING MANOR,1.0,SOUTHEASTERN,"(39.27486255, -76.54271906)",39.27486255,-76.54271906
8634,2821 002,2302 ROSLYN AVE,GARWYN OAKS,6.0,NORTHWESTERN,"(39.31435167, -76.67837226)",39.31435167,-76.67837226
8635,4144 015,0,MAYFIELD,3.0,NORTHEASTERN,"(39.32787594, -76.58059016)",39.32787594,-76.58059016
8636,1150 020,1332 N BOND ST,OLIVER,12.0,EASTERN,"(39.30593878, -76.59693898)",39.30593878,-76.59693898
8637,0373 065,0,UPTON,11.0,CENTRAL,"(39.30050547, -76.63339244)",39.30050547,-76.63339244
8638,6345D006,61 KANE ST,PULASKI INDUSTRIAL AREA,1.0,SOUTHEASTERN,"(39.29482007, -76.53271889)",39.29482007,-76.53271889
8639,5177 001B,5105 MIDWOOD AVE,KENILWORTH PARK,4.0,NORTHERN,"(39.34983057, -76.60279428)",39.34983057,-76.60279428
8640,1623 002,702 N MONTFORD AVE,MILTON-MONTFORD,13.0,EASTERN,"(39.29912629, -76.58397258)",39.29912629,-76.58397258
8641,1151 077,1637 ELLSWORTH ST,OLIVER,12.0,EASTERN,"(39.30571203, -76.59541725)",39.30571203,-76.59541725
8642,3518C053,1516 BALDWIN ST,HAMPDEN,7.0,NORTHERN,"(39.32922443, -76.63918801)",39.32922443,-76.63918801
8643,0284 011A,820 RAMSAY ST,WASHINGTON VILLAGE/PIGTOWN,10.0,SOUTHERN,"(39.28381979, -76.62976592)",39.28381979,-76.62976592
8644,4108 025,1502 HOMESTEAD ST,COLDSTREAM HOMESTEAD MONTEBELLO,14.0,NORTHEASTERN,"(39.32223757, -76.59732259)",39.32223757,-76.59732259
8645,0372 014,713 MOSHER ST,UPTON,11.0,CENTRAL,"(39.30016262, -76.63472695)",39.30016262,-76.63472695
8646,7491 004,0,LAKELAND,10.0,SOUTHERN,"(39.25795477, -76.64904337)",39.25795477,-76.64904337
8647,4018 035,509 E 21ST ST,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.31332507, -76.6091393)",39.31332507,-76.6091393
8648,1520 011,2426 E PRESTON ST,BROADWAY EAST,13.0,EASTERN,"(39.30598626, -76.58339673)",39.30598626,-76.58339673
8649,4167 031,1918 N CHESTER ST,SOUTH CLIFTON PARK,12.0,EASTERN,"(39.31310074, -76.58896693)",39.31310074,-76.58896693
8650,0299 008,1315 W NORTH AVE,DRUID HEIGHTS,7.0,CENTRAL,"(39.30998377, -76.63878872)",39.30998377,-76.63878872
8651,4018 003,504 E 20TH ST,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.31273301, -76.60924731)",39.31273301,-76.60924731
8652,3205 065,2127 HERBERT ST,MONDAWMIN,7.0,WESTERN,"(39.31009978, -76.65232352)",39.31009978,-76.65232352
8653,3804 058,425 HEAVER ST,BARCLAY,12.0,EASTERN,"(39.31192659, -76.61000221)",39.31192659,-76.61000221
8654,7363 026,3324 TATE ST,FAIRFIELD AREA,10.0,SOUTHERN,"(39.23712064, -76.58096858)",39.23712064,-76.58096858
8655,7475 076,0,MORRELL PARK,10.0,SOUTHWESTERN,"(39.26172107, -76.64982659)",39.26172107,-76.64982659
8656,1446 013,1825 N BROADWAY,BROADWAY EAST,12.0,EASTERN,"(39.31128487, -76.59470171)",39.31128487,-76.59470171
8657,6172 001A,5200 PULASKI HWY,ORANGEVILLE,13.0,EASTERN,"(39.3005971, -76.55321258)",39.3005971,-76.55321258
8658,3804 038,419 E 20TH ST,BARCLAY,12.0,EASTERN,"(39.31221509, -76.61029254)",39.31221509,-76.61029254
8659,4265 021B,0,REISTERSTOWN STATION,5.0,NORTHWESTERN,"(39.35392793, -76.71126699)",39.35392793,-76.71126699
8660,7865 002A,0,MORRELL PARK,10.0,SOUTHWESTERN,"(39.26526103, -76.65358475)",39.26526103,-76.65358475
8661,0155 038,1125 W MULBERRY ST,POPPLETON,9.0,WESTERN,"(39.29308572, -76.63631066)",39.29308572,-76.63631066
8662,2539 029,4004 FREDERICK AVE,IRVINGTON,8.0,SOUTHWESTERN,"(39.2819389, -76.68254795)",39.2819389,-76.68254795
8663,0603 014,316 SAINT PAUL PL,DOWNTOWN,11.0,CENTRAL,"(39.29322806, -76.61447083)",39.29322806,-76.61447083
8664,0152 023,1429 W MULBERRY ST,FRANKLIN SQUARE,9.0,WESTERN,"(39.29295708, -76.64079476)",39.29295708,-76.64079476
8665,0202 099,21 N AMITY ST,POPPLETON,9.0,WESTERN,"(39.2895464, -76.63293334)",39.2895464,-76.63293334
8666,4256 162G,4221 CREST HEIGHTS ROAD,REISTERSTOWN STATION,5.0,NORTHWESTERN,"(39.35912221, -76.7112365)",39.35912221,-76.7112365
8667,4149A023,0,BELAIR-EDISON,3.0,NORTHEASTERN,"(39.324879, -76.57800015)",39.324879,-76.57800015
8668,1724 022,2315 E FAIRMOUNT AVE,PATTERSON PLACE,1.0,SOUTHEASTERN,"(39.29282011, -76.58394973)",39.29282011,-76.58394973
8669,4006 047,1926 HOPE ST,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.31263112, -76.60192555)",39.31263112,-76.60192555
8670,2309 001,1701 THOMAS AVE,COPPIN HEIGHTS/ASH-CO-EAST,7.0,WESTERN,"(39.30762676, -76.65776996)",39.30762676,-76.65776996
8671,4820B109,0,NORTH ROLAND PARK/POPLAR HILL,5.0,NORTHERN,"(39.37146452, -76.64673711)",39.37146452,-76.64673711
8672,8187 004,0,BEECHFIELD,8.0,SOUTHWESTERN,"(39.2802743, -76.69869871)",39.2802743,-76.69869871
8673,6280 012,0,KRESSON,2.0,SOUTHEASTERN,"(39.29136477, -76.56186058)",39.29136477,-76.56186058
8674,5424 034,0,HAMILTON HILLS,3.0,NORTHEASTERN,"(39.3615072, -76.56605842)",39.3615072,-76.56605842
8675,4314 003,0,GLEN,5.0,NORTHWESTERN,"(39.35525525, -76.69449102)",39.35525525,-76.69449102
8676,1604 071,805 N CASTLE ST,MIDDLE EAST,13.0,EASTERN,"(39.29987344, -76.58858999)",39.29987344,-76.58858999
8677,7203 033,1614 ELMTREE ST,CURTIS BAY,10.0,SOUTHERN,"(39.22477944, -76.58752072)",39.22477944,-76.58752072
8678,6424 050,537 CANTON CT,CANTON,1.0,SOUTHEASTERN,"(39.2857208, -76.56809122)",39.2857208,-76.56809122
8679,0372 034,700 W LAFAYETTE AVE,UPTON,11.0,CENTRAL,"(39.29987114, -76.63388618)",39.29987114,-76.63388618
8680,2286 047,0,ALLENDALE,8.0,SOUTHWESTERN,"(39.29116917, -76.67610596)",39.29116917,-76.67610596
8681,0874 043,105 WELCOME AL,OTTERBEIN,11.0,SOUTHERN,"(39.28252874, -76.61642526)",39.28252874,-76.61642526
8682,0499 092,521 ORCHARD ST,SETON HILL,11.0,CENTRAL,"(39.29736435, -76.62372181)",39.29736435,-76.62372181
8683,1862 016,1803 LANCASTER ST,FELLS POINT,1.0,SOUTHEASTERN,"(39.28257054, -76.59080584)",39.28257054,-76.59080584
8684,4108 050,2660 KENNEDY AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14.0,NORTHEASTERN,"(39.32149979, -76.59634409)",39.32149979,-76.59634409
8685,7882 008,2015 MAISEL ST,SAINT PAUL,10.0,SOUTHERN,"(39.26893157, -76.64532933)",39.26893157,-76.64532933
8686,7258 037,0,CURTIS BAY,10.0,SOUTHERN,"(39.2316177, -76.59300996)",39.2316177,-76.59300996
8687,1453 009,1817 N GAY ST,BROADWAY EAST,13.0,EASTERN,"(39.31137303, -76.58510023)",39.31137303,-76.58510023
8688,1702 002,1 N WOLFE ST,WASHINGTON HILL,13.0,SOUTHEASTERN,"(39.29229133, -76.58986131)",39.29229133,-76.58986131
8689,3307A011,4223 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.33762168, -76.66453864)",39.33762168,-76.66453864
8690,2206A025,0,ROSEMONT HOMEOWNERS/TENANTS,9.0,WESTERN,"(39.29408754, -76.65901735)",39.29408754,-76.65901735
8691,7132 001,0,BROOKLYN,10.0,SOUTHERN,"(39.2297067, -76.60658309)",39.2297067,-76.60658309
8692,4191 002,2208 ERDMAN AVE,MAYFIELD,3.0,NORTHEASTERN,"(39.3278851, -76.58287013)",39.3278851,-76.58287013
8693,3205 058,2113 HERBERT ST,MONDAWMIN,7.0,WESTERN,"(39.31010889, -76.65202336)",39.31010889,-76.65202336
8694,1177 047,1109 N DALLAS ST,GAY STREET,12.0,EASTERN,"(39.30360133, -76.5970621)",39.30360133,-76.5970621
8695,8434A010,0,FRANKLINTOWN,8.0,SOUTHWESTERN,"(39.30653958, -76.69424673)",39.30653958,-76.69424673
8696,1920 056,1126 KEY HWY,RIVERSIDE,11.0,SOUTHERN,"(39.27690717, -76.60655417)",39.27690717,-76.60655417
8697,5212 010,511 WILLOW AVE,WILSON PARK,4.0,NORTHERN,"(39.34498441, -76.60893994)",39.34498441,-76.60893994
8698,1517 088,2013 ELLSWORTH ST,BROADWAY EAST,13.0,EASTERN,"(39.3059587, -76.58938069)",39.3059587,-76.58938069
8699,2409A049,0,ROSEMONT,9.0,SOUTHWESTERN,"(39.30536087, -76.66718202)",39.30536087,-76.66718202
8700,0243 026,113 S MONROE ST,CARROLLTON RIDGE,9.0,SOUTHERN,"(39.28568669, -76.64656014)",39.28568669,-76.64656014
8701,4400A050,0,CHESWOLDE,5.0,NORTHWESTERN,"(39.3622275, -76.68497476)",39.3622275,-76.68497476
8702,1589 071,912 N PATTERSON PARK AVE,MIDDLE EAST,13.0,EASTERN,"(39.30118029, -76.58554023)",39.30118029,-76.58554023
8703,4778B021,0,SABINA-MATTFELDT,5.0,NORTHERN,"(39.36289694, -76.64825711)",39.36289694,-76.64825711
8704,7094 027,0,BROOKLYN,10.0,SOUTHERN,"(39.23446993, -76.60247397)",39.23446993,-76.60247397
8705,2177 053,2537 MCHENRY ST,SHIPLEY HILL,9.0,SOUTHWESTERN,"(39.28365467, -76.65703612)",39.28365467,-76.65703612
8706,1112 017,1005 E LANVALE ST,OLIVER,12.0,EASTERN,"(39.30908104, -76.60375667)",39.30908104,-76.60375667
8707,0149 064,327 N FULTON AVE,FRANKLIN SQUARE,9.0,WESTERN,"(39.29273771, -76.64517516)",39.29273771,-76.64517516
8708,0302 044,2212 DIVISION ST,DRUID HEIGHTS,7.0,CENTRAL,"(39.30837715, -76.63895433)",39.30837715,-76.63895433
8709,0469 052,0,UPTON,11.0,CENTRAL,"(39.29599416, -76.63262652)",39.29599416,-76.63262652
8710,8186 018,0,BEECHFIELD,8.0,SOUTHWESTERN,"(39.27913453, -76.69745031)",39.27913453,-76.69745031
8711,0156 064,1006 SARAH ANN ST,POPPLETON,9.0,WESTERN,"(39.29298401, -76.63446256)",39.29298401,-76.63446256
8712,8420 027,5300 OVERHILL ROAD,FRANKLINTOWN,8.0,SOUTHWESTERN,"(39.30876631, -76.71115758)",39.30876631,-76.71115758
8713,3565 067,1110 KELLY PL,HAMPDEN,7.0,NORTHERN,"(39.33471849, -76.6354089)",39.33471849,-76.6354089
8714,3390B103,2080 ERIC SHAEFER WAY,WOODBERRY,7.0,NORTHERN,"(39.33067568, -76.64731156)",39.33067568,-76.64731156
8715,4120 007,2656 POLK ST,COLDSTREAM HOMESTEAD MONTEBELLO,14.0,NORTHEASTERN,"(39.32060893, -76.59489703)",39.32060893,-76.59489703
8716,5326 004,0,MORGAN PARK,3.0,NORTHEASTERN,"(39.34565886, -76.57958574)",39.34565886,-76.57958574
8717,4584 015,3109 W BELVEDERE AVE,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.34948921, -76.67431409)",39.34948921,-76.67431409
8718,3608 015,2128 N HOWARD ST,REMINGTON,12.0,NORTHERN,"(39.31392114, -76.61982295)",39.31392114,-76.61982295
8719,6019P059,5603 WHITBY ROAD,FRANKFORD,2.0,NORTHEASTERN,"(39.33579933, -76.52976715)",39.33579933,-76.52976715
8720,2282 045,0,LOWER EDMONDSON VILLAGE,8.0,SOUTHWESTERN,"(39.29238952, -76.67486381)",39.29238952,-76.67486381
8721,1498 008,1426 N CHESTER ST,BROADWAY EAST,13.0,EASTERN,"(39.30749821, -76.58863802)",39.30749821,-76.58863802
8722,3000 014,3307 WALBROOK AVE,WALBROOK,7.0,SOUTHWESTERN,"(39.30967108, -76.67309617)",39.30967108,-76.67309617
8723,5216 052,0,WRENLANE,4.0,NORTHERN,"(39.34468787, -76.60583401)",39.34468787,-76.60583401
8724,2295 054,0,ALLENDALE,8.0,SOUTHWESTERN,"(39.29300755, -76.68313321)",39.29300755,-76.68313321
8725,2254 015,28 S KOSSUTH ST,SAINT JOSEPHS,8.0,SOUTHWESTERN,"(39.28670125, -76.67567807)",39.28670125,-76.67567807
8726,0452 055,627 N FREMONT AVE,UPTON,11.0,CENTRAL,"(39.29639495, -76.63269309)",39.29639495,-76.63269309
8727,3411 032,2547 FLORA ST,PENN NORTH,7.0,WESTERN,"(39.31408343, -76.64249569)",39.31408343,-76.64249569
8728,0158 018A,0,POPPLETON,9.0,WESTERN,"(39.29278048, -76.63192922)",39.29278048,-76.63192922
8729,7526 015,2521 GEHB AVE,LAKELAND,10.0,SOUTHERN,"(39.25109848, -76.64929475)",39.25109848,-76.64929475
8730,0185 010,1018 W FAYETTE ST,POPPLETON,9.0,WESTERN,"(39.29011424, -76.63445791)",39.29011424,-76.63445791
8731,0032 073,1324 N BRUCE ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30384178, -76.64551595)",39.30384178,-76.64551595
8732,5190 052,0,WILSON PARK,4.0,NORTHERN,"(39.34441634, -76.60206927)",39.34441634,-76.60206927
8733,6005 076,0,FRANKFORD,2.0,NORTHEASTERN,"(39.34036447, -76.54404799)",39.34036447,-76.54404799
8734,0261 033,1720 MCHENRY ST,NEW SOUTHWEST/MOUNT CLARE,9.0,SOUTHERN,"(39.28450078, -76.64444348)",39.28450078,-76.64444348
8735,1104 015,1727 BARCLAY ST,GREENMOUNT WEST,12.0,EASTERN,"(39.30960202, -76.61053449)",39.30960202,-76.61053449
8736,3413 071,1406 TRACTION ST,PENN NORTH,7.0,WESTERN,"(39.31230245, -76.64076947)",39.31230245,-76.64076947
8737,2028 084C,0,RIVERSIDE,11.0,SOUTHERN,"(39.27200016, -76.60329367)",39.27200016,-76.60329367
8738,4843J022A,0,NORTH ROLAND PARK/POPLAR HILL,5.0,NORTHERN,"(39.3660108, -76.63238781)",39.3660108,-76.63238781
8739,0034 144,1441 N PARRISH ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30476351, -76.64243973)",39.30476351,-76.64243973
8740,1111 034,457 PITMAN PL,GREENMOUNT WEST,12.0,EASTERN,"(39.30834271, -76.60927792)",39.30834271,-76.60927792
8741,1455 057,1813 N MILTON AVE,BEREA,13.0,EASTERN,"(39.31129457, -76.58262933)",39.31129457,-76.58262933
8742,1825 003,1300 THAMES ST,FELLS POINT,1.0,SOUTHEASTERN,"(39.27943701, -76.59752752)",39.27943701,-76.59752752
8743,3357 006,0,WOODBERRY,6.0,NORTHERN,"(39.33909529, -76.65625938)",39.33909529,-76.65625938
8744,4017 016,730 E 20TH ST,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.3128147, -76.60744996)",39.3128147,-76.60744996
8745,0086 012,1616 W LANVALE ST,HARLEM PARK,9.0,WESTERN,"(39.29791155, -76.64348055)",39.29791155,-76.64348055
8746,7364 002,3305 TATE ST,FAIRFIELD AREA,10.0,SOUTHERN,"(39.23781219, -76.58047854)",39.23781219,-76.58047854
8747,0250 082,102 S CARLTON ST,HOLLINS MARKET,9.0,SOUTHERN,"(39.28635805, -76.63599068)",39.28635805,-76.63599068
8748,2378 042,0,MOSHER,9.0,WESTERN,"(39.297787, -76.66239655)",39.297787,-76.66239655
8749,0026 036,1828 LORMAN ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30435371, -76.64718683)",39.30435371,-76.64718683
8750,0076 082,905 WHATCOAT ST,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.29932685, -76.64076975)",39.29932685,-76.64076975
8751,1530 017,1233 N GAY ST,BROADWAY EAST,12.0,EASTERN,"(39.30485668, -76.59290984)",39.30485668,-76.59290984
8752,1591 040,2425 E EAGER ST,MILTON-MONTFORD,13.0,EASTERN,"(39.30166254, -76.58309424)",39.30166254,-76.58309424
8753,7774 003A,2208 GEORGETOWN ROAD,WILHELM PARK,10.0,SOUTHWESTERN,"(39.2712496, -76.65423884)",39.2712496,-76.65423884
8754,1450 116,1836 N DUNCAN ST,BROADWAY EAST,12.0,EASTERN,"(39.3118599, -76.58817767)",39.3118599,-76.58817767
8755,1536 032,2318 E BIDDLE ST,BROADWAY EAST,13.0,EASTERN,"(39.30487096, -76.58447179)",39.30487096,-76.58447179
8756,6135B147,4337 ORCHARD RIDGE BLVD,ORCHARD RIDGE,13.0,NORTHEASTERN,"(39.31252141, -76.55998606)",39.31252141,-76.55998606
8757,1483 079,1513 N MADEIRA ST,BROADWAY EAST,13.0,EASTERN,"(39.30838154, -76.58629292)",39.30838154,-76.58629292
8758,8292 013A,3505 N ROGERS AVE,HOWARD PARK,8.0,NORTHWESTERN,"(39.33385596, -76.70537451)",39.33385596,-76.70537451
8759,1450 101,1806 N DUNCAN ST,BROADWAY EAST,12.0,EASTERN,"(39.31135271, -76.58814792)",39.31135271,-76.58814792
8760,8102N064,0,IRVINGTON,8.0,SOUTHWESTERN,"(39.28549625, -76.69296432)",39.28549625,-76.69296432
8761,7874 009,1909 MAISEL ST,SAINT PAUL,10.0,SOUTHERN,"(39.27037628, -76.64718018)",39.27037628,-76.64718018
8762,0127 057,512 N ARLINGTON AVE,HARLEM PARK,9.0,WESTERN,"(39.29481291, -76.635905)",39.29481291,-76.635905
8763,3059A074,3327 TROY ST,HANLON-LONGWOOD,7.0,NORTHWESTERN,"(39.31573792, -76.67335376)",39.31573792,-76.67335376
8764,1920 083A,0,RIVERSIDE,11.0,SOUTHERN,"(39.27629005, -76.60653504)",39.27629005,-76.60653504
8765,1098 011,1721 ENSOR ST,OLIVER,12.0,EASTERN,"(39.30988946, -76.60380252)",39.30988946,-76.60380252
8766,1623 089,700 N BRADFORD ST,MILTON-MONTFORD,13.0,EASTERN,"(39.29913312, -76.58460726)",39.29913312,-76.58460726
8767,3876 041,0,CHARLES VILLAGE,14.0,NORTHERN,"(39.32653681, -76.61407992)",39.32653681,-76.61407992
8768,1150 076,1323 N DALLAS ST,OLIVER,12.0,EASTERN,"(39.30599885, -76.59721733)",39.30599885,-76.59721733
8769,3903A050,0,WAVERLY,4.0,NORTHERN,"(39.33592684, -76.60878578)",39.33592684,-76.60878578
8770,0055D018,1120 N FREMONT AVE,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.30227689, -76.63651865)",39.30227689,-76.63651865
8771,5370A087,0,LAURAVILLE,3.0,NORTHEASTERN,"(39.35083817, -76.57232066)",39.35083817,-76.57232066
8772,1144 091,1301 WILCOX ST,JOHNSTON SQUARE,12.0,EASTERN,"(39.30530852, -76.60419969)",39.30530852,-76.60419969
8773,2283 082,0,LOWER EDMONDSON VILLAGE,8.0,SOUTHWESTERN,"(39.2933238, -76.67462436)",39.2933238,-76.67462436
8774,0847B062,835 CLIFFORD ST,WASHINGTON VILLAGE/PIGTOWN,10.0,SOUTHERN,"(39.28324919, -76.62986143)",39.28324919,-76.62986143
8775,0431 007,642 W HOFFMAN ST,UPTON,11.0,CENTRAL,"(39.29776909, -76.62997738)",39.29776909,-76.62997738
8776,4607 041,4715 REISTERSTOWN ROAD,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.34141344, -76.67434561)",39.34141344,-76.67434561
8777,0155 046,1109 W MULBERRY ST,POPPLETON,9.0,WESTERN,"(39.29312618, -76.63586043)",39.29312618,-76.63586043
8778,0113 052,1204 EDMONDSON AVE,HARLEM PARK,9.0,WESTERN,"(39.29565441, -76.63775078)",39.29565441,-76.63775078
8779,5408A001,0,HAMILTON HILLS,3.0,NORTHEASTERN,"(39.35940003, -76.56746855)",39.35940003,-76.56746855
8780,4005 015,1142 E NORTH AVE,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.31202732, -76.60334359)",39.31202732,-76.60334359
8781,0194 038,1706 W BALTIMORE ST,FRANKLIN SQUARE,9.0,WESTERN,"(39.28846127, -76.64406404)",39.28846127,-76.64406404
8782,0187 090,127 N AMITY ST,POPPLETON,9.0,WESTERN,"(39.290676, -76.63298052)",39.290676,-76.63298052
8783,6319B013,0,CANTON INDUSTRIAL AREA,2.0,SOUTHEASTERN,"(39.28742947, -76.55999916)",39.28742947,-76.55999916
8784,6220 042A,0,PULASKI INDUSTRIAL AREA,2.0,NORTHEASTERN,"(39.31507263, -76.53133886)",39.31507263,-76.53133886
8785,1151 061,1605 ELLSWORTH ST,OLIVER,12.0,EASTERN,"(39.30568323, -76.59612166)",39.30568323,-76.59612166
8786,1163 012,1525 E PRESTON ST,OLIVER,12.0,EASTERN,"(39.30506774, -76.59693564)",39.30506774,-76.59693564
8787,0164 112,240 N BRUCE ST,FRANKLIN SQUARE,9.0,WESTERN,"(39.2915792, -76.64479386)",39.2915792,-76.64479386
8788,3824 020,407 E 24TH ST,BARCLAY,12.0,EASTERN,"(39.31608966, -76.61066778)",39.31608966,-76.61066778
8789,1188 030,1036 SOMERSET ST,JOHNSTON SQUARE,12.0,EASTERN,"(39.30273034, -76.60140977)",39.30273034,-76.60140977
8790,4130 018B,0,COLDSTREAM HOMESTEAD MONTEBELLO,14.0,NORTHEASTERN,"(39.32212342, -76.59364651)",39.32212342,-76.59364651
8791,1531 028,1214 N WOLFE ST,BROADWAY EAST,12.0,EASTERN,"(39.30503081, -76.59153497)",39.30503081,-76.59153497
8792,0308 072,2112 ETTING ST,DRUID HEIGHTS,7.0,CENTRAL,"(39.30812418, -76.63748029)",39.30812418,-76.63748029
8793,4293 304,3620 BANCROFT ROAD,GLEN,5.0,NORTHWESTERN,"(39.36079945, -76.69937797)",39.36079945,-76.69937797
8794,7762 002A,2807 HERKIMER ST,MORRELL PARK,10.0,SOUTHWESTERN,"(39.26453417, -76.65813627)",39.26453417,-76.65813627
8795,0330 032A,0,MADISON PARK,11.0,CENTRAL,"(39.30691737, -76.63290583)",39.30691737,-76.63290583
8796,2315 013,1627 THOMAS AVE,COPPIN HEIGHTS/ASH-CO-EAST,7.0,WESTERN,"(39.30688463, -76.65772504)",39.30688463,-76.65772504
8797,0151 068,1502 NORMAN CT,FRANKLIN SQUARE,9.0,WESTERN,"(39.29255078, -76.64165223)",39.29255078,-76.64165223
8798,2199A015A,3235 MCTEAGUE ST,CARROLL-SOUTH HILTON,9.0,SOUTHWESTERN,"(39.28152155, -76.6708468)",39.28152155,-76.6708468
8799,0181 049,1508 VINE ST,FRANKLIN SQUARE,9.0,WESTERN,"(39.29029837, -76.641663)",39.29029837,-76.641663
8800,0320 087,1926 BRUNT ST,UPTON,11.0,CENTRAL,"(39.30581589, -76.63665792)",39.30581589,-76.63665792
8801,7364 013,1606 CHESAPEAKE AVE,FAIRFIELD AREA,10.0,SOUTHERN,"(39.23693162, -76.58019853)",39.23693162,-76.58019853
8802,0222 087,143 S CALVERTON ROAD,BOYD-BOOTH,9.0,SOUTHWESTERN,"(39.28606166, -76.65059222)",39.28606166,-76.65059222
8803,3408 045,2514 FRANCIS ST,PENN NORTH,7.0,WESTERN,"(39.31285667, -76.64245043)",39.31285667,-76.64245043
8804,4.97E+12,0,KESWICK,14.0,NORTHERN,"(39.34453909, -76.62630388)",39.34453909,-76.62630388
8805,7892C011,2210 MAISEL ST,SAINT PAUL,10.0,SOUTHERN,"(39.26558738, -76.64414337)",39.26558738,-76.64414337
8806,4778B035,0,SABINA-MATTFELDT,5.0,NORTHERN,"(39.3645769, -76.64787146)",39.3645769,-76.64787146
8807,0085 043,808 N MOUNT ST,HARLEM PARK,9.0,WESTERN,"(39.29802992, -76.64458648)",39.29802992,-76.64458648
8808,0780 040,1234 W OSTEND ST,WASHINGTON VILLAGE/PIGTOWN,10.0,SOUTHERN,"(39.28159718, -76.63350568)",39.28159718,-76.63350568
8809,1099A041,1205 E NORTH AVE,OLIVER,12.0,EASTERN,"(39.31152376, -76.60236435)",39.31152376,-76.60236435
8810,4123 005,1709 GORSUCH AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14.0,NORTHEASTERN,"(39.32061688, -76.59411312)",39.32061688,-76.59411312
8811,0184 016,1204 W FAYETTE ST,POPPLETON,9.0,WESTERN,"(39.2901067, -76.63710595)",39.2901067,-76.63710595
8812,0962 020,145 W WEST ST,SHARP-LEADENHALL,11.0,SOUTHERN,"(39.27569504, -76.61819723)",39.27569504,-76.61819723
8813,6354 013,0,EASTWOOD,1.0,SOUTHEASTERN,"(39.28857182, -76.53119823)",39.28857182,-76.53119823
8814,4620 075A,0,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.34328189, -76.6723531)",39.34328189,-76.6723531
8815,0547B040,653 N PACA ST,SETON HILL,11.0,CENTRAL,"(39.29694827, -76.62251065)",39.29694827,-76.62251065
8816,0093 002,0,MIDTOWN-EDMONDSON,9.0,WESTERN,"(39.29679319, -76.6511711)",39.29679319,-76.6511711
8817,1669 012,423 N CHESTER ST,CARE,13.0,EASTERN,"(39.29614023, -76.58744105)",39.29614023,-76.58744105
8818,0031 036,1837 LORMAN ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30397295, -76.64729579)",39.30397295,-76.64729579
8819,0218 045,1018 HOLLINS ST,HOLLINS MARKET,9.0,SOUTHERN,"(39.28794108, -76.63433345)",39.28794108,-76.63433345
8820,1551 009,2011 E BIDDLE ST,MIDDLE EAST,12.0,EASTERN,"(39.30432957, -76.58928199)",39.30432957,-76.58928199
8821,0120 045,519 N MONROE ST,HARLEM PARK,9.0,WESTERN,"(39.29465499, -76.64702809)",39.29465499,-76.64702809
8822,0708 064,402 S PARRISH ST,NEW SOUTHWEST/MOUNT CLARE,9.0,SOUTHERN,"(39.28298638, -76.64152671)",39.28298638,-76.64152671
